title,genre
"Death in the Garden","Drama"
"Designing Woman","Comedy"
"Designing Woman","Romance"
"The Delicate Delinquent","Comedy"
"Silk Stockings","Comedy"
"Silk Stockings","Music"
"Silk Stockings","Romance"
"Three o'clock in the morning in a big city","Action"
"Three o'clock in the morning in a big city","Crime"
"Three o'clock in the morning in a big city","Drama"
"The Strange World of Planet X","Horror"
"The Strange World of Planet X","Science Fiction"
"The Young Lions","Action"
"The Young Lions","Drama"
"The Young Lions","War"
"Mon Oncle","Comedy"
"The Bravados","Western"
"The Boy Who Came Back","Drama"
"Fiend Without a Face","Horror"
"Fiend Without a Face","Science Fiction"
"The Crawling Eye","Horror"
"The Crawling Eye","Science Fiction"
"His Scarlet Cloak","Comedy"
"The 7th Voyage of Sinbad","Action"
"The 7th Voyage of Sinbad","Adventure"
"The 7th Voyage of Sinbad","Family"
"The 7th Voyage of Sinbad","Fantasy"
"Mannequin in Red","Crime"
"Mannequin in Red","Mystery"
"Mannequin in Red","Thriller"
"Main Nashe Mein Hoon","Comedy"
"Main Nashe Mein Hoon","Drama"
"Main Nashe Mein Hoon","Family"
"No Name on the Bullet","Action"
"No Name on the Bullet","Thriller"
"No Name on the Bullet","Western"
"Carlton-Browne of the F.O.","Comedy"
"North by Northwest","Adventure"
"North by Northwest","Mystery"
"North by Northwest","Thriller"
"The Mouse That Roared","Comedy"
"Third Man on the Mountain","Adventure"
"Third Man on the Mountain","Drama"
"Third Man on the Mountain","Family"
"Operation Petticoat","Comedy"
"Operation Petticoat","War"
"Eyes Without a Face","Drama"
"Eyes Without a Face","Horror"
"Eyes Without a Face","Thriller"
"13 Ghosts","Horror"
"Cinderfella","Comedy"
"Cinderfella","Fantasy"
"Cinderfella","Music"
"Yojimbo","Drama"
"Yojimbo","Thriller"
"The Man Who Challenged 8,000,000-Koku","Drama"
"The American Beauty","Comedy"
"Town Without Pity","Drama"
"King of Kings","Drama"
"King of Kings","Fantasy"
"Devil's Nursery Rhyme","Mystery"
"Woman of Design","Drama"
"Cléo from 5 to 7","Drama"
"Experiment in Terror","Crime"
"Experiment in Terror","Mystery"
"Experiment in Terror","Thriller"
"H.M.S. Defiant","Adventure"
"H.M.S. Defiant","History"
"H.M.S. Defiant","War"
"Tales of Terror","Comedy"
"Tales of Terror","Horror"
"The War Lover","Adventure"
"The War Lover","Drama"
"The War Lover","War"
"Mooga Manasulu","Drama"
"High and Low","Crime"
"High and Low","Drama"
"High and Low","Mystery"
"High and Low","Thriller"
"David Susskind Archive: Interview With Dr. Martin Luther King Jr","Documentary"
"David Susskind Archive: Interview With Dr. Martin Luther King Jr","History"
"Miracle of the White Stallions","Drama"
"Miracle of the White Stallions","Family"
"The Terror","Fantasy"
"The Terror","Horror"
"The Three Stooges Go Around the World in a Daze","Comedy"
"Sleepy Eyes of Death 1: The Chinese Jade","Action"
"Move Over, Darling","Comedy"
"Move Over, Darling","Romance"
"Hot Enough for June","Comedy"
"Hot Enough for June","Thriller"
"Cavalry Charge","Adventure"
"Cavalry Charge","Western"
"Mr. Magoo, Man of Mystery","Comedy"
"The Fall of the Roman Empire","Drama"
"The Fall of the Roman Empire","History"
"The Fall of the Roman Empire","War"
"The Unsinkable Molly Brown","Comedy"
"P.Ramlee Characteristics","Comedy"
"P.Ramlee Characteristics","Drama"
"P.Ramlee Characteristics","Music"
"Assault on Fort Texan","Western"
"The Crown Jewels of Iran","Documentary"
"The Cincinnati Kid Plays According to Hoyle","Documentary"
"Baby the Rain Must Fall","Drama"
"Baby the Rain Must Fall","Romance"
"The Great Race","Adventure"
"The Great Race","Comedy"
"Six Characters In Search Of An Author","Drama"
"Six Characters In Search Of An Author","TV Movie"
"The Bedford Incident","Action"
"The Bedford Incident","Drama"
"The Bedford Incident","Thriller"
"The Bedford Incident","War"
"The Cincinnati Kid","Drama"
"Dr. Goldfoot and the Bikini Machine","Comedy"
"Dr. Goldfoot and the Bikini Machine","Science Fiction"
"The Embalmer","Horror"
"Loves of a Blonde","Comedy"
"Loves of a Blonde","Drama"
"Loves of a Blonde","Romance"
"The Rare Breed","Western"
"The Trouble with Angels","Comedy"
"The Trouble with Angels","Family"
"Cast a Giant Shadow","War"
"Tokyo Drifter","Action"
"Tokyo Drifter","Crime"
"Tokyo Drifter","Thriller"
"Paradise, Hawaiian Style","Comedy"
"Paradise, Hawaiian Style","Music"
"Paradise, Hawaiian Style","Romance"
"Torn Curtain","Mystery"
"Torn Curtain","Thriller"
"1966 World Cup Final","Reality"
"The Battle of Algiers","Drama"
"The Battle of Algiers","History"
"The Battle of Algiers","War"
"The Professionals","Action"
"The Professionals","Adventure"
"The Professionals","Western"
"Thunderbirds Are GO","Action"
"Thunderbirds Are GO","Animation"
"Thunderbirds Are GO","Family"
"Thunderbirds Are GO","Science Fiction"
"Ebirah, Horror of the Deep","Action"
"Ebirah, Horror of the Deep","Fantasy"
"Ebirah, Horror of the Deep","Science Fiction"
"Marat/Sade","Drama"
"Marat/Sade","History"
"Marat/Sade","Music"
"The Taming of the Shrew","Comedy"
"The Taming of the Shrew","Romance"
"The Goddess of Mercy","Adventure"
"The Goddess of Mercy","Drama"
"The Goddess of Mercy","Fantasy"
"The Killing Game","Adventure"
"The Killing Game","Comedy"
"The Killing Game","Drama"
"The Gnome-Mobile","Comedy"
"The Gnome-Mobile","Family"
"The Gnome-Mobile","Fantasy"
"Fanny Hill Meets Lady Chatterley","Reality"
"Quatermass and the Pit","Horror"
"Quatermass and the Pit","Mystery"
"Quatermass and the Pit","Science Fiction"
"Tony Rome","Crime"
"Tony Rome","Mystery"
"Tony Rome","Thriller"
"The Devil's Brigade","Action"
"The Devil's Brigade","Drama"
"The Devil's Brigade","War"
"A Piece of Her Action","Drama"
"Targets","Crime"
"Targets","Thriller"
"Theorem","Drama"
"Theorem","Mystery"
"Be Sick… It's Free","Comedy"
"The Jade Raksha","Action"
"The Jade Raksha","Adventure"
"The Prime of Miss Jean Brodie","Drama"
"The Diamond Arm","Adventure"
"The Diamond Arm","Comedy"
"The Diamond Arm","Crime"
"Midnight Cowboy","Drama"
"My Side of the Mountain","Action"
"My Side of the Mountain","Adventure"
"My Side of the Mountain","Drama"
"My Side of the Mountain","Family"
"Guns of the Magnificent Seven","Western"
"The Misused Love Letters","Drama"
"Looking Back on Boudu Saved from Drowning","Documentary"
"The Good, the Bad and the Beautiful","Drama"
"Zatoichi Meets Yojimbo","Action"
"Zatoichi Meets Yojimbo","Adventure"
"Zatoichi Meets Yojimbo","Drama"
"Rio Lobo","Western"
"On a Clear Day You Can See Forever","Comedy"
"On a Clear Day You Can See Forever","Drama"
"On a Clear Day You Can See Forever","Fantasy"
"On a Clear Day You Can See Forever","Music"
"On a Clear Day You Can See Forever","Romance"
"Churchill's Leopards","War"
"The Murder of Mr. Devil","Comedy"
"The Murder of Mr. Devil","Fantasy"
"The Lickerish Quartet","Drama"
"The Lickerish Quartet","Romance"
"Delinquent Girl Boss: Tokyo Drifters","Action"
"Delinquent Girl Boss: Tokyo Drifters","Crime"
"Plimpton! Shoot-Out at Rio Lobo","Documentary"
"The Pacifist","Drama"
"People of the Seal, Part 2: Eskimo Winter","Documentary"
"The Cat o' Nine Tails","Horror"
"The Cat o' Nine Tails","Mystery"
"The Cat o' Nine Tails","Thriller"
"Summer of '42","Comedy"
"Summer of '42","Drama"
"Summer of '42","Romance"
"Sweet Sweetback's Baadasssss Song","Action"
"Sweet Sweetback's Baadasssss Song","Crime"
"Sweet Sweetback's Baadasssss Song","Drama"
"The Abominable Dr. Phibes","Comedy"
"The Abominable Dr. Phibes","Horror"
"Pink Narcissus","Drama"
"Pink Narcissus","Fantasy"
"Beware of a Holy Whore","Comedy"
"Beware of a Holy Whore","Drama"
"A Bay of Blood","Horror"
"A Bay of Blood","Thriller"
"Dracula vs. Frankenstein","Horror"
"Dracula vs. Frankenstein","Science Fiction"
"Women in Cages","Action"
"Women in Cages","Crime"
"Women in Cages","Drama"
"Gentlemen of Fortune","Comedy"
"Gentlemen of Fortune","Crime"
"Gentlemen of Fortune","Drama"
"The Cowboys","Action"
"The Cowboys","Adventure"
"The Cowboys","Drama"
"The Cowboys","Western"
"Scooby-Doo Meets Batman","Adventure"
"Scooby-Doo Meets Batman","Animation"
"Scooby-Doo Meets Batman","Comedy"
"Scooby-Doo Meets Batman","Family"
"Scooby-Doo Meets Batman","Mystery"
"Bawarchi","Comedy"
"Bawarchi","Drama"
"Bawarchi","Family"
"Play It Again, Sam","Comedy"
"Play It Again, Sam","Romance"
"Chato's Land","Western"
"The Big Bust Out","Action"
"The Big Bust Out","Crime"
"The Big Bust Out","Thriller"
"Shaft's Big Score!","Action"
"Shaft's Big Score!","Adventure"
"Shaft's Big Score!","Crime"
"Shaft's Big Score!","Mystery"
"The Valley","Drama"
"Greaser's Palace","Comedy"
"Greaser's Palace","Western"
"Foreigner's Mistress Oman: Tempestuous Skin","Action"
"Foreigner's Mistress Oman: Tempestuous Skin","Crime"
"What the Peeper Saw","Drama"
"What the Peeper Saw","Horror"
"What the Peeper Saw","Thriller"
"Seeta and Geeta","Adventure"
"Seeta and Geeta","Comedy"
"Seeta and Geeta","Romance"
"Gargoyles","Fantasy"
"Gargoyles","Horror"
"Gargoyles","TV Movie"
"What?","Comedy"
"Cries and Whispers","Drama"
"Lord Peter Wimsey Mysteries: Murder Must Advertise","Adventure"
"Lord Peter Wimsey Mysteries: Murder Must Advertise","Crime"
"III. Richárd","History"
"Sex Is Beautiful","Drama"
"Doctor Who: Carnival of Monsters","Adventure"
"Doctor Who: Carnival of Monsters","Drama"
"Doctor Who: Carnival of Monsters","Science Fiction"
"Zatoichi's Conspiracy","Action"
"Zatoichi's Conspiracy","Drama"
"Female Yakuza Tale","Action"
"Female Yakuza Tale","Crime"
"Female Yakuza Tale","Drama"
"Hospitals: The White Mafia","Drama"
"Even Ninotchka takes off her panties","Comedy"
"Bruce Lee: A Dragon Story","Documentary"
"The Autobiography of Miss Jane Pittman","Drama"
"The Autobiography of Miss Jane Pittman","TV Movie"
"Herbie Rides Again","Comedy"
"Herbie Rides Again","Family"
"Herbie Rides Again","Fantasy"
"Herbie Rides Again","Romance"
"The Sinful Nuns of Saint Valentine","Drama"
"The Sinful Nuns of Saint Valentine","Horror"
"Return of the Dragon","Action"
"Return of the Dragon","Comedy"
"House of Whipcord","Horror"
"A Very Natural Thing","Drama"
"A Very Natural Thing","Romance"
"The Legend of the 7 Golden Vampires","Action"
"The Legend of the 7 Golden Vampires","Horror"
"Flesh Gordon","Comedy"
"Flesh Gordon","Science Fiction"
"California Split","Comedy"
"California Split","Drama"
"Frank Sinatra: The Main Event","Documentary"
"Frank Sinatra: The Main Event","Music"
"Frank Sinatra: The Main Event","TV Movie"
"At Home Among Strangers, a Stranger Among His Own","Action"
"At Home Among Strangers, a Stranger Among His Own","Drama"
"At Home Among Strangers, a Stranger Among His Own","Western"
"The Strongest Man in the World","Comedy"
"The Strongest Man in the World","Family"
"Queen of the Stardust Ballroom","Drama"
"Queen of the Stardust Ballroom","Romance"
"Queen of the Stardust Ballroom","TV Movie"
"Funny Girl to Funny Lady","Documentary"
"Funny Girl to Funny Lady","Music"
"Funny Lady","Comedy"
"Funny Lady","Drama"
"Funny Lady","Romance"
"Starsky and Hutch","Action"
"Starsky and Hutch","Crime"
"Starsky and Hutch","Drama"
"Starsky and Hutch","TV Movie"
"The Day of the Locust","Drama"
"The Kingfisher Caper","Drama"
"The Devil's Rain","Horror"
"Three Days of the Condor","Mystery"
"Three Days of the Condor","Thriller"
"The Return of Sister Street Fighter","Action"
"The Return of Sister Street Fighter","Crime"
"Atlas: A Sketch of the Rise and Fall of the Roman Empire","History"
"What's The Big Idea, Ben Franklin?","Animation"
"What's The Big Idea, Ben Franklin?","Family"
"What's The Big Idea, Ben Franklin?","History"
"The Killing of a Chinese Bookie","Crime"
"The Killing of a Chinese Bookie","Drama"
"The Killing of a Chinese Bookie","Thriller"
"The Slipper and the Rose","Adventure"
"The Slipper and the Rose","Fantasy"
"The Slipper and the Rose","Music"
"The Slipper and the Rose","Romance"
"Logan's Run","Action"
"Logan's Run","Science Fiction"
"The Big Bus","Action"
"The Big Bus","Comedy"
"The Return of a Man Called Horse","Adventure"
"The Return of a Man Called Horse","Western"
"Swashbuckler","Action"
"Swashbuckler","Adventure"
"Swashbuckler","Comedy"
"In the Realm of the Senses","Drama"
"In the Realm of the Senses","Romance"
"Marathon Man","Thriller"
"Returned Libertines","Comedy"
"Led Zeppelin - The Song Remains the Same","Documentary"
"Led Zeppelin - The Song Remains the Same","Music"
"Rocky","Drama"
"Rocky","Romance"
"Barney","Adventure"
"Mikey and Nicky","Crime"
"Mikey and Nicky","Drama"
"The Little Girl Who Lives Down the Lane","Drama"
"The Little Girl Who Lives Down the Lane","Mystery"
"The Little Girl Who Lives Down the Lane","Thriller"
"Eaten Alive","Horror"
"The Love Letters from Teralba Road","Drama"
"Love Letters of a Portuguese Nun","Drama"
"Love Letters of a Portuguese Nun","Horror"
"Breaker! Breaker!","Action"
"Breaker! Breaker!","Adventure"
"Breaker! Breaker!","Crime"
"Breaker! Breaker!","Thriller"
"Jade Tiger","Action"
"Jade Tiger","Adventure"
"Young Lady Chatterley","Comedy"
"Young Lady Chatterley","Drama"
"Empire of the Ants","Horror"
"Empire of the Ants","Science Fiction"
"Moonlight Sword and Jade Lion","Action"
"Moonlight Sword and Jade Lion","Adventure"
"Moonlight Sword and Jade Lion","Drama"
"Lady Chatterly in Tokyo","Drama"
"The Duellists","Drama"
"The Duellists","War"
"Hell's Angels: Crimson Roar","Drama"
"A Piece of the Action","Comedy"
"A Piece of the Action","Thriller"
"Abigail's Party","Comedy"
"Abigail's Party","Drama"
"Abigail's Party","TV Movie"
"Return of the Chinese Boxer","Action"
"Return of the Chinese Boxer","Adventure"
"Get Out Your Handkerchiefs","Comedy"
"Get Out Your Handkerchiefs","Drama"
"Get Out Your Handkerchiefs","Romance"
"Gray Lady Down","Action"
"Gray Lady Down","Drama"
"Gray Lady Down","Thriller"
"Silver Saddle","Action"
"Silver Saddle","Western"
"Tough Guy","Action"
"Attack of the Killer Tomatoes!","Comedy"
"Attack of the Killer Tomatoes!","Horror"
"Attack of the Killer Tomatoes!","Science Fiction"
"Rescue from Gilligan's Island","Adventure"
"Rescue from Gilligan's Island","Comedy"
"Rescue from Gilligan's Island","TV Movie"
"The Deer Hunter","Drama"
"The Deer Hunter","War"
"The Eighteen Jade Arhats","Action"
"Island of the Fishmen","Horror"
"Island of the Fishmen","Science Fiction"
"The Fifth Musketeer","Action"
"The Fifth Musketeer","History"
"Saint Jack","Drama"
"Winter Kills","Drama"
"Winter Kills","Mystery"
"Winter Kills","Thriller"
"Butch and Sundance: The Early Days","Western"
"The Onion Field","Crime"
"The Onion Field","Drama"
"The Triple Death of the Third Character","Drama"
"The Making of 'Superman: The Movie'","Documentary"
"Real Kung Fu Of Shaolin","Action"
"The Final Countdown","Action"
"The Final Countdown","Science Fiction"
"The Final Countdown","War"
"Moscow Does Not Believe in Tears","Comedy"
"Moscow Does Not Believe in Tears","Drama"
"Moscow Does Not Believe in Tears","Romance"
"Eaten Alive!","Adventure"
"Eaten Alive!","Horror"
"Caged Women","Action"
"Caged Women","Adventure"
"Caged Women","Drama"
"Return of the Secaucus Seven","Drama"
"My American Uncle","Comedy"
"My American Uncle","Drama"
"My American Uncle","Romance"
"The Leg Fighters","Action"
"The Leg Fighters","Comedy"
"The Leg Fighters","Drama"
"The True Story of the Nun of Monza","Drama"
"My Bodyguard","Comedy"
"My Bodyguard","Drama"
"My Bodyguard","Family"
"The Night of the Hunted","Horror"
"The Night of the Hunted","Thriller"
"Doctor Who: The Leisure Hive","Adventure"
"Doctor Who: The Leisure Hive","Drama"
"Doctor Who: The Leisure Hive","Science Fiction"
"Woman Grinder's Revenge","Horror"
"Love on the Big Country","Romance"
"Popeye","Action"
"Popeye","Adventure"
"Popeye","Comedy"
"Popeye","Family"
"Seems Like Old Times","Comedy"
"Seems Like Old Times","Romance"
"Taxi zum Klo","Comedy"
"Taxi zum Klo","Drama"
"Taxi zum Klo","Romance"
"Inseminoid","Horror"
"Inseminoid","Science Fiction"
"Inseminoid","Thriller"
"American Pop","Animation"
"American Pop","Drama"
"American Pop","History"
"American Pop","Music"
"From Mao to Mozart: Isaac Stern in China","Documentary"
"From Mao to Mozart: Isaac Stern in China","Family"
"From Mao to Mozart: Isaac Stern in China","Music"
"Sadomania","Action"
"Sadomania","Drama"
"Sadomania","Horror"
"For Your Eyes Only","Action"
"For Your Eyes Only","Adventure"
"For Your Eyes Only","Thriller"
"The Adventures of Sherlock Holmes and Dr. Watson: The Hound of the Baskervilles, Part 1","Adventure"
"The Adventures of Sherlock Holmes and Dr. Watson: The Hound of the Baskervilles, Part 1","Crime"
"The Adventures of Sherlock Holmes and Dr. Watson: The Hound of the Baskervilles, Part 1","Mystery"
"The Adventures of Sherlock Holmes and Dr. Watson: The Hound of the Baskervilles, Part 1","TV Movie"
"The Return of the Beverly Hillbillies","Comedy"
"The Return of the Beverly Hillbillies","TV Movie"
"My Dinner with Andre","Drama"
"Quest for Fire","Adventure"
"Quest for Fire","Drama"
"The Quest for Fire Adventure","Adventure"
"The Marx Brothers in a Nutshell","Comedy"
"The Marx Brothers in a Nutshell","Documentary"
"Richard Pryor: Live on the Sunset Strip","Comedy"
"The Masters of Time","Adventure"
"The Masters of Time","Animation"
"The Masters of Time","Science Fiction"
"Dead Men Don't Wear Plaid","Comedy"
"Dead Men Don't Wear Plaid","Mystery"
"Britannia Hospital","Comedy"
"Britannia Hospital","Drama"
"Britannia Hospital","Horror"
"Britannia Hospital","Science Fiction"
"Stevie Ray Vaughan and Double Trouble Live at Montreux 1982","Music"
"Querelle","Drama"
"The Pirate Movie","Action"
"The Pirate Movie","Comedy"
"The Pirate Movie","Drama"
"The Pirate Movie","Family"
"The Pirate Movie","Music"
"The Pirate Movie","Romance"
"Sick Love","Drama"
"Creepshow","Comedy"
"Creepshow","Horror"
"Airplane II: The Sequel","Comedy"
"8-MAN NEVER SLEEPS","Animation"
"8-MAN NEVER SLEEPS","Science Fiction"
"The Architecture of Frank Lloyd Wright","Documentary"
"The Indomitable Teddy Roosevelt","Documentary"
"The Scarlet and the Black","Drama"
"The Scarlet and the Black","History"
"The Scarlet and the Black","TV Movie"
"The Scarlet and the Black","War"
"William Shakespeare's Taming of the Shrew","Comedy"
"William Shakespeare's Taming of the Shrew","Drama"
"William Shakespeare's Taming of the Shrew","Romance"
"Fantasy Mission Force","Action"
"Fantasy Mission Force","Adventure"
"Fantasy Mission Force","Comedy"
"Fantasy Mission Force","Crime"
"Fantasy Mission Force","Thriller"
"To the Lighthouse","Drama"
"To the Lighthouse","TV Movie"
"Bill Cosby: Himself","Comedy"
"Lies","Drama"
"Lies","Thriller"
"Winners & Sinners","Action"
"Winners & Sinners","Adventure"
"Winners & Sinners","Comedy"
"Winners & Sinners","Crime"
"Krull","Action"
"Krull","Adventure"
"Krull","Fantasy"
"Krull","Science Fiction"
"National Lampoon's Vacation","Adventure"
"National Lampoon's Vacation","Comedy"
"Jeans and T-Shirt","Comedy"
"Jeans and T-Shirt","Music"
"Jeans and T-Shirt","Romance"
"Finally, Sunday!","Comedy"
"Finally, Sunday!","Crime"
"Finally, Sunday!","Mystery"
"Smokey and the Bandit Part 3","Action"
"Smokey and the Bandit Part 3","Comedy"
"Smokey and the Bandit Part 3","Crime"
"Prisoners of the Lost Universe","Action"
"Prisoners of the Lost Universe","Adventure"
"Prisoners of the Lost Universe","Science Fiction"
"All the Right Moves","Drama"
"All the Right Moves","Romance"
"Star 80","Drama"
"Silkwood","Drama"
"Silkwood","Thriller"
"The Lonely Guy","Comedy"
"The Lonely Guy","Romance"
"The 8 Diagram Pole Fighter","Action"
"The 8 Diagram Pole Fighter","Drama"
"The Ring","Drama"
"Repo Man","Comedy"
"Repo Man","Science Fiction"
"Future Boy Conan: The Big Giant Robot's Resurrection","Adventure"
"Future Boy Conan: The Big Giant Robot's Resurrection","Animation"
"Future Boy Conan: The Big Giant Robot's Resurrection","Family"
"Nausicaä of the Valley of the Wind","Adventure"
"Nausicaä of the Valley of the Wind","Animation"
"Nausicaä of the Valley of the Wind","Fantasy"
"Stephen, the King","Drama"
"Stephen, the King","History"
"Stephen, the King","Music"
"Invitation to Hell","Horror"
"Invitation to Hell","Mystery"
"Invitation to Hell","TV Movie"
"Cloak & Dagger","Action"
"Cloak & Dagger","Adventure"
"Cloak & Dagger","Family"
"The Pope of Greenwich Village","Action"
"The Pope of Greenwich Village","Comedy"
"The Pope of Greenwich Village","Crime"
"Rhinestone","Comedy"
"The Making of Fanny and Alexander","Documentary"
"Silent Madness","Horror"
"The Killing Fields","Drama"
"The Killing Fields","History"
"The Killing Fields","War"
"2010","Science Fiction"
"2010","Thriller"
"Micki + Maude","Comedy"
"Micki + Maude","Romance"
"Mrs. Soffel","Drama"
"Mrs. Soffel","Romance"
"Dead Kennedys: DMPO's on Broadway","Music"
"Elvis Presley - One Night With You","Music"
"The Last Dragon","Action"
"The Last Dragon","Adventure"
"The Last Dragon","Music"
"Baby: Secret of the Lost Legend","Action"
"Baby: Secret of the Lost Legend","Adventure"
"Baby: Secret of the Lost Legend","Family"
"Baby: Secret of the Lost Legend","Fantasy"
"Girls Just Want to Have Fun","Comedy"
"Girls Just Want to Have Fun","Family"
"Girls Just Want to Have Fun","Music"
"Girls Just Want to Have Fun","Romance"
"Rambo: First Blood Part II","Action"
"Rambo: First Blood Part II","Adventure"
"Rambo: First Blood Part II","Thriller"
"Rambo: First Blood Part II","War"
"Odin: Starlight Mutiny","Adventure"
"Odin: Starlight Mutiny","Animation"
"Odin: Starlight Mutiny","Science Fiction"
"Better Off Dead...","Comedy"
"American Ninja","Action"
"The Journey of Natty Gann","Adventure"
"The Journey of Natty Gann","Drama"
"The Journey of Natty Gann","Family"
"Silver Bullet","Horror"
"The Return of Rubén Blades","Documentary"
"The Return of Rubén Blades","Music"
"Mr. Vampire","Action"
"Mr. Vampire","Comedy"
"Mr. Vampire","Horror"
"Doña Herlinda and Her Son","Comedy"
"Doña Herlinda and Her Son","Romance"
"Young Lady Chatterley II","Drama"
"Barbarian Queen","Adventure"
"Barbarian Queen","Fantasy"
"Girls School Screamers","Horror"
"Girls School Screamers","Mystery"
"Girls School Screamers","Thriller"
"Police Academy 3: Back in Training","Comedy"
"Police Academy 3: Back in Training","Crime"
