title,cast
"Leave Her to Heaven","Gene Tierney"
"Leave Her to Heaven","Cornel Wilde"
"Leave Her to Heaven","Vincent Price"
"Leave Her to Heaven","Gene Lockhart"
"A Night in Casablanca","Groucho Marx"
"A Night in Casablanca","Harpo Marx"
"A Night in Casablanca","Chico Marx"
"A Night in Casablanca","Charles Drake"
"A Night in Casablanca","Sig Ruman"
"A Night in Casablanca","Dan Seymour"
"Cloak and Dagger","Gary Cooper"
"Cloak and Dagger","Lilli Palmer"
"Cloak and Dagger","J. Edward Bromberg"
"Cloak and Dagger","Dan Seymour"
"Cloak and Dagger","Marc Lawrence"
"My Favorite Brunette","Bob Hope"
"My Favorite Brunette","Dorothy Lamour"
"My Favorite Brunette","Peter Lorre"
"My Favorite Brunette","Lon Chaney Jr."
"My Favorite Brunette","Frank Puglia"
"The Ghost and Mrs. Muir","Gene Tierney"
"The Ghost and Mrs. Muir","Rex Harrison"
"The Ghost and Mrs. Muir","Natalie Wood"
"The Ghost and Mrs. Muir","Victoria Horne"
"Captain Boycott","Mervyn Johns"
"The Big Clock","Ray Milland"
"The Big Clock","Maureen O'Sullivan"
"The Big Clock","Dan Tobin"
"The Barkleys of Broadway","Fred Astaire"
"The Barkleys of Broadway","Ginger Rogers"
"The Barkleys of Broadway","Billie Burke"
"The Barkleys of Broadway","George Zucco"
"The Third Man","Joseph Cotten"
"The Third Man","Alida Valli"
"The Third Man","Orson Welles"
"The Great Rupert","Sara Haden"
"Panic in the Streets","Richard Widmark"
"Panic in the Streets","Paul Douglas"
"Panic in the Streets","Jack Palance"
"Operation Pacific","John Wayne"
"Operation Pacific","Kathryn Givney"
"Operation Pacific","Martin Milner"
"Diary of a Country Priest","Antoine Balpêtré"
"We're Not Married!","Ginger Rogers"
"We're Not Married!","Eve Arden"
"We're Not Married!","Paul Douglas"
"We're Not Married!","Eddie Bracken"
"The Duel at Silver Creek","Audie Murphy"
"The Duel at Silver Creek","Lee Marvin"
"Lady Chatterley of Japan","Ayako Wakao"
"The 5,000 Fingers of Dr. T.","Peter Lind Hayes"
"The 5,000 Fingers of Dr. T.","Mary Healy"
"The 5,000 Fingers of Dr. T.","Hans Conried"
"The 5,000 Fingers of Dr. T.","Tommy Rettig"
"The 5,000 Fingers of Dr. T.","Noel Cravat"
"The 5,000 Fingers of Dr. T.","Robert Heasley"
"The 5,000 Fingers of Dr. T.","Jack Heasley"
"The 5,000 Fingers of Dr. T.","George Chakiris"
"The 5,000 Fingers of Dr. T.","Alan Aric"
"The 5,000 Fingers of Dr. T.","Henry Kulky"
"Seven Samurai","Toshirō Mifune"
"Seven Samurai","Takashi Shimura"
"Seven Samurai","Seiji Miyaguchi"
"Seven Samurai","Daisuke Katō"
"Seven Samurai","Isao Kimura"
"The High and the Mighty","John Wayne"
"The High and the Mighty","Jan Sterling"
"The High and the Mighty","David Brian"
"Le Rouge et le Noir","Antoine Balpêtré"
"Rage at Dawn","Randolph Scott"
"Rage at Dawn","Forrest Tucker"
"Rage at Dawn","J. Carrol Naish"
"The Prisoner","Alec Guinness"
"The Prisoner","Raymond Huntley"
"The Trouble with Harry","John Forsythe"
"1984","Jan Sterling"
"1984","David Kossoff"
"1984","Mervyn Johns"
"1984","Donald Pleasence"
"The Killing","Sterling Hayden"
"The Killing","Vince Edwards"
"The Killing","Timothy Carey"
"Congo Crossing","Peter Lorre"
"Congo Crossing","Kathryn Givney"
"Congo Crossing","Raymond Bailey"
"Death in the Garden","Michel Piccoli"
"Death in the Garden","Jorge Martínez de Hoyos"
"Designing Woman","Gregory Peck"
"Designing Woman","Lauren Bacall"
"Designing Woman","Chuck Connors"
"Designing Woman","Edward Platt"
"The Delicate Delinquent","Jerry Lewis"
"The Delicate Delinquent","Richard Bakalyan"
"Silk Stockings","Fred Astaire"
"Silk Stockings","Peter Lorre"
"Three o'clock in the morning in a big city","Sachiko Meguro"
"The Strange World of Planet X","Forrest Tucker"
"The Strange World of Planet X","Alec Mango"
"The Young Lions","Marlon Brando"
"The Young Lions","Lee Van Cleef"
"The Bravados","Gregory Peck"
"The Bravados","Joan Collins"
"The Bravados","Stephen Boyd"
"The Bravados","Albert Salmi"
"The Bravados","Henry Silva"
"The Bravados","Lee Van Cleef"
"The Boy Who Came Back","Hideaki Nitani"
"The Boy Who Came Back","Jō Shishido"
"The Boy Who Came Back","Taiji Tonoyama"
"Fiend Without a Face","Kynaston Reeves"
"The Crawling Eye","Forrest Tucker"
"The Crawling Eye","Janet Munro"
"The Crawling Eye","Laurence Payne"
"His Scarlet Cloak","Kyōko Kagawa"
"His Scarlet Cloak","Keiko Yanagawa"
"The 7th Voyage of Sinbad","Alec Mango"
"No Name on the Bullet","Audie Murphy"
"No Name on the Bullet","Charles Drake"
"Carlton-Browne of the F.O.","Terry-Thomas"
"Carlton-Browne of the F.O.","Peter Sellers"
"Carlton-Browne of the F.O.","Raymond Huntley"
"Carlton-Browne of the F.O.","John Le Mesurier"
"Carlton-Browne of the F.O.","Kynaston Reeves"
"North by Northwest","Cary Grant"
"North by Northwest","Eva Marie Saint"
"North by Northwest","James Mason"
"North by Northwest","Josephine Hutchinson"
"North by Northwest","Martin Landau"
"North by Northwest","Edward Platt"
"The Mouse That Roared","Peter Sellers"
"The Mouse That Roared","David Kossoff"
"The Mouse That Roared","Leo McKern"
"The Mouse That Roared","Monte Landis"
"Third Man on the Mountain","James MacArthur"
"Third Man on the Mountain","Janet Munro"
"Third Man on the Mountain","James Donald"
"Third Man on the Mountain","Helen Hayes"
"Operation Petticoat","Cary Grant"
"Operation Petticoat","Tony Curtis"
"Eyes Without a Face","Alida Valli"
"13 Ghosts","Martin Milner"
"Cinderfella","Jerry Lewis"
"Cinderfella","Ed Wynn"
"Cinderfella","Henry Silva"
"Yojimbo","Toshirō Mifune"
"Yojimbo","Tatsuya Nakadai"
"Yojimbo","Yōko Tsukasa"
"Yojimbo","Daisuke Katō"
"Yojimbo","Takashi Shimura"
"The Man Who Challenged 8,000,000-Koku","Utaemon Ichikawa"
"The Man Who Challenged 8,000,000-Koku","Sō Yamamura"
"The Man Who Challenged 8,000,000-Koku","Hiroko Sakuramachi"
"The Man Who Challenged 8,000,000-Koku","Chōichirō Kawarasaki"
"The Man Who Challenged 8,000,000-Koku","Michitarō Mizushima"
"The Man Who Challenged 8,000,000-Koku","Noboru Nakaya"
"The Man Who Challenged 8,000,000-Koku","Eijirō Yanagi"
"The Man Who Challenged 8,000,000-Koku","Katsuo Nakamura"
"The Man Who Challenged 8,000,000-Koku","Chōjūrō Kawarasaki"
"The Man Who Challenged 8,000,000-Koku","Shin Tokudaiji"
"The American Beauty","Michel Serrault"
"Town Without Pity","Kirk Douglas"
"Town Without Pity","Richard Jaeckel"
"King of Kings","Viveca Lindfors"
"King of Kings","Rip Torn"
"Devil's Nursery Rhyme","Rinichi Yamamoto"
"Woman of Design","Yōko Tsukasa"
"Woman of Design","Keiko Yanagawa"
"Cléo from 5 to 7","Corinne Marchand"
"Cléo from 5 to 7","Antoine Bourseiller"
"Cléo from 5 to 7","Dorothée Blanck"
"Experiment in Terror","Lee Remick"
"Experiment in Terror","Stefanie Powers"
"Experiment in Terror","Gilbert Green"
"H.M.S. Defiant","Alec Guinness"
"H.M.S. Defiant","Dirk Bogarde"
"H.M.S. Defiant","Anthony Quayle"
"H.M.S. Defiant","Tom Bell"
"H.M.S. Defiant","Ray Brooks"
"H.M.S. Defiant","Robin Stewart"
"Tales of Terror","Vincent Price"
"Tales of Terror","Peter Lorre"
"Tales of Terror","Basil Rathbone"
"The War Lover","Steve McQueen"
"The War Lover","Robert Wagner"
"The War Lover","Gary Cockrell"
"High and Low","Toshirō Mifune"
"High and Low","Tatsuya Nakadai"
"High and Low","Kyōko Kagawa"
"High and Low","Isao Kimura"
"High and Low","Takeshi Katō"
"High and Low","Takashi Shimura"
"Miracle of the White Stallions","Robert Taylor"
"Miracle of the White Stallions","Lilli Palmer"
"Miracle of the White Stallions","Eddie Albert"
"Miracle of the White Stallions","James Franciscus"
"The Terror","Boris Karloff"
"The Terror","Jack Nicholson"
"Move Over, Darling","Doris Day"
"Move Over, Darling","James Garner"
"Move Over, Darling","Polly Bergen"
"Move Over, Darling","Thelma Ritter"
"Move Over, Darling","Don Knotts"
"Move Over, Darling","Elliott Reid"
"Move Over, Darling","John Astin"
"Move Over, Darling","Pat Harrington"
"Hot Enough for June","Dirk Bogarde"
"Hot Enough for June","Leo McKern"
"Hot Enough for June","John Le Mesurier"
"The Fall of the Roman Empire","Stephen Boyd"
"The Fall of the Roman Empire","Christopher Plummer"
"The Fall of the Roman Empire","Alec Guinness"
"The Fall of the Roman Empire","James Mason"
"The Fall of the Roman Empire","Anthony Quayle"
"The Fall of the Roman Empire","Omar Sharif"
"The Fall of the Roman Empire","Mel Ferrer"
"The Unsinkable Molly Brown","Debbie Reynolds"
"Assault on Fort Texan","Ida Galli"
"The Cincinnati Kid Plays According to Hoyle","Joan Blondell"
"The Cincinnati Kid Plays According to Hoyle","Steve McQueen"
"Baby the Rain Must Fall","Steve McQueen"
"Baby the Rain Must Fall","Lee Remick"
"Baby the Rain Must Fall","Ruth White"
"Baby the Rain Must Fall","Josephine Hutchinson"
"The Great Race","Jack Lemmon"
"The Great Race","Tony Curtis"
"The Great Race","Natalie Wood"
"The Great Race","Peter Falk"
"The Great Race","Keenan Wynn"
"The Bedford Incident","Richard Widmark"
"The Bedford Incident","Sidney Poitier"
"The Bedford Incident","James MacArthur"
"The Bedford Incident","Michael Kane"
"The Bedford Incident","Gary Cockrell"
"The Cincinnati Kid","Steve McQueen"
"The Cincinnati Kid","Ann-Margret"
"The Cincinnati Kid","Karl Malden"
"The Cincinnati Kid","Joan Blondell"
"The Cincinnati Kid","Rip Torn"
"The Cincinnati Kid","Jeff Corey"
"Dr. Goldfoot and the Bikini Machine","Vincent Price"
"Dr. Goldfoot and the Bikini Machine","Frankie Avalon"
"Loves of a Blonde","Vladimír Menšík"
"The Rare Breed","James Stewart"
"The Rare Breed","David Brian"
"The Rare Breed","Jack Elam"
"The Rare Breed","Ben Johnson"
"The Rare Breed","Harry Carey"
"The Trouble with Angels","Hayley Mills"
"Cast a Giant Shadow","Kirk Douglas"
"Cast a Giant Shadow","John Wayne"
"Cast a Giant Shadow","Senta Berger"
"Cast a Giant Shadow","Angie Dickinson"
"Cast a Giant Shadow","James Donald"
"Cast a Giant Shadow","Frank Sinatra"
"Cast a Giant Shadow","Gordon Jackson"
"Tokyo Drifter","Hideaki Nitani"
"Paradise, Hawaiian Style","Elvis Presley"
"Paradise, Hawaiian Style","Suzanna Leigh"
"Paradise, Hawaiian Style","James Shigeta"
"Paradise, Hawaiian Style","Marianna Hill"
"Paradise, Hawaiian Style","Donna Butterworth"
"Paradise, Hawaiian Style","Irene Tsu"
"Paradise, Hawaiian Style","Linda Wong"
"Paradise, Hawaiian Style","Julie Parrish"
"Paradise, Hawaiian Style","Grady Sutton"
"Paradise, Hawaiian Style","Jan Shepard"
"Torn Curtain","Paul Newman"
"Torn Curtain","Julie Andrews"
"Torn Curtain","Günter Strack"
"The Professionals","Burt Lancaster"
"The Professionals","Lee Marvin"
"The Professionals","Jack Palance"
"The Professionals","Jorge Martínez de Hoyos"
"Ebirah, Horror of the Deep","Chōtarō Tōgin"
"Ebirah, Horror of the Deep","Tôru Ibuki"
"Ebirah, Horror of the Deep","Akihiko Hirata"
"Ebirah, Horror of the Deep","Toru Watanabe"
"Ebirah, Horror of the Deep","Ikio Sawamura"
"Ebirah, Horror of the Deep","Yuko Bambi"
"Marat/Sade","Freddie Jones"
"The Taming of the Shrew","Michael York"
"The Taming of the Shrew","Michael Hordern"
"The Killing Game","Jean-Pierre Cassel"
"The Killing Game","Claudine Auger"
"The Killing Game","Eléonore Hirt"
"The Gnome-Mobile","Walter Brennan"
"The Gnome-Mobile","Ed Wynn"
"Quatermass and the Pit","James Donald"
"Quatermass and the Pit","Julian Glover"
"Quatermass and the Pit","Peter Copley"
"Tony Rome","Frank Sinatra"
"Tony Rome","Gena Rowlands"
"Tony Rome","Simon Oakland"
"The Devil's Brigade","Cliff Robertson"
"The Devil's Brigade","Vince Edwards"
"The Devil's Brigade","Andrew Prine"
"The Devil's Brigade","Jeremy Slate"
"The Devil's Brigade","Claude Akins"
"The Devil's Brigade","Richard Jaeckel"
"Targets","Boris Karloff"
"Targets","Monte Landis"
"Targets","Peter Bogdanovich"
"Theorem","Terence Stamp"
"Theorem","Laura Betti"
"Be Sick… It's Free","Ida Galli"
"Be Sick… It's Free","Leopoldo Trieste"
"Be Sick… It's Free","Claudio Gora"
"The Jade Raksha","Cheng Pei-pei"
"The Jade Raksha","Fan Mei-Sheng"
"The Jade Raksha","Ku Feng"
"The Prime of Miss Jean Brodie","Maggie Smith"
"The Prime of Miss Jean Brodie","Robert Stephens"
"The Prime of Miss Jean Brodie","Gordon Jackson"
"The Prime of Miss Jean Brodie","Jane Carr"
"The Diamond Arm","Anatoli Papanov"
"Midnight Cowboy","Jon Voight"
"Midnight Cowboy","Dustin Hoffman"
"Midnight Cowboy","Ruth White"
"Midnight Cowboy","Jennifer Salt"
"Midnight Cowboy","Gary Owens"
"My Side of the Mountain","Theodore Bikel"
"Guns of the Magnificent Seven","George Kennedy"
"Guns of the Magnificent Seven","James Whitmore"
"Guns of the Magnificent Seven","Reni Santoni"
"Guns of the Magnificent Seven","Bernie Casey"
"Guns of the Magnificent Seven","Scott Thomas"
"The Misused Love Letters","Günter Strack"
"The Good, the Bad and the Beautiful","Harold Herbsman"
"The Good, the Bad and the Beautiful","Janis Young"
"The Good, the Bad and the Beautiful","Jennifer Welles"
"The Good, the Bad and the Beautiful","Allen Garfield"
"The Good, the Bad and the Beautiful","Robert Heinz"
"The Good, the Bad and the Beautiful","Osgood Scott"
"The Good, the Bad and the Beautiful","Uta Erickson"
"The Good, the Bad and the Beautiful","Linda Boyce"
"Zatoichi Meets Yojimbo","Shintarō Katsu"
"Zatoichi Meets Yojimbo","Toshirō Mifune"
"Zatoichi Meets Yojimbo","Ayako Wakao"
"Rio Lobo","John Wayne"
"Rio Lobo","Jennifer O'Neill"
"Rio Lobo","Jack Elam"
"Rio Lobo","Victor French"
"Rio Lobo","David Huddleston"
"Rio Lobo","Jim Davis"
"On a Clear Day You Can See Forever","Barbra Streisand"
"On a Clear Day You Can See Forever","Bob Newhart"
"On a Clear Day You Can See Forever","Simon Oakland"
"On a Clear Day You Can See Forever","Jack Nicholson"
"Churchill's Leopards","Richard Harrison"
"The Murder of Mr. Devil","Vladimír Menšík"
"The Lickerish Quartet","Annie Carol Edel"
"Plimpton! Shoot-Out at Rio Lobo","Jack Elam"
"Plimpton! Shoot-Out at Rio Lobo","Victor French"
"Plimpton! Shoot-Out at Rio Lobo","David Huddleston"
"Plimpton! Shoot-Out at Rio Lobo","John Wayne"
"People of the Seal, Part 2: Eskimo Winter","Alexander Scourby"
"The Cat o' Nine Tails","James Franciscus"
"The Cat o' Nine Tails","Karl Malden"
"Summer of '42","Jennifer O'Neill"
"Summer of '42","Maureen Stapleton"
"Sweet Sweetback's Baadasssss Song","Melvin Van Peebles"
"Sweet Sweetback's Baadasssss Song","Mario Van Peebles"
"Sweet Sweetback's Baadasssss Song","John Amos"
"The Abominable Dr. Phibes","Vincent Price"
"The Abominable Dr. Phibes","Joseph Cotten"
"The Abominable Dr. Phibes","Hugh Griffith"
"The Abominable Dr. Phibes","Terry-Thomas"
"Beware of a Holy Whore","Eddie Constantine"
"A Bay of Blood","Claudine Auger"
"A Bay of Blood","Leopoldo Trieste"
"A Bay of Blood","Laura Betti"
"A Bay of Blood","Paola Montenero"
"Dracula vs. Frankenstein","J. Carrol Naish"
"Dracula vs. Frankenstein","Lon Chaney Jr."
"Dracula vs. Frankenstein","Jim Davis"
"Women in Cages","Roberta Collins"
"Women in Cages","Pam Grier"
"Gentlemen of Fortune","Savely Kramarov"
"The Cowboys","John Wayne"
"The Cowboys","Roscoe Lee Browne"
"The Cowboys","Bruce Dern"
"Scooby-Doo Meets Batman","Frank Welker"
"Bawarchi","Jaya Bachchan"
"Bawarchi","Asrani"
"Bawarchi","Kali Bannerjee"
"Play It Again, Sam","Woody Allen"
"Play It Again, Sam","Diane Keaton"
"Play It Again, Sam","Tony Roberts"
"Play It Again, Sam","Jerry Lacy"
"Play It Again, Sam","Susan Anspach"
"Play It Again, Sam","Jennifer Salt"
"Play It Again, Sam","Joy Bang"
"Play It Again, Sam","Viva"
"Play It Again, Sam","Susanne Zenor"
"Play It Again, Sam","Diana Davila"
"Chato's Land","Jack Palance"
"Chato's Land","James Whitmore"
"Chato's Land","Simon Oakland"
"Chato's Land","Richard Jordan"
"Chato's Land","Victor French"
"The Big Bust Out","William Berger"
"Shaft's Big Score!","Richard Roundtree"
"Shaft's Big Score!","Joe Santos"
"The Valley","Bulle Ogier"
"The Valley","Michael Gothard"
"Greaser's Palace","Luana Anders"
"Foreigner's Mistress Oman: Tempestuous Skin","Morio Kazama"
"What the Peeper Saw","Lilli Palmer"
"What the Peeper Saw","Harry Andrews"
"Seeta and Geeta","Dharmendra"
"Seeta and Geeta","Asrani"
"Gargoyles","Cornel Wilde"
"Gargoyles","Jennifer Salt"
"Gargoyles","Bernie Casey"
"Gargoyles","Scott Glenn"
"Gargoyles","Woody Chambliss"
"What?","Hugh Griffith"
"Cries and Whispers","Erland Josephson"
"Cries and Whispers","Ingmar Bergman"
"Sex Is Beautiful","Sady Rebbot"
"Zatoichi's Conspiracy","Shintarō Katsu"
"Zatoichi's Conspiracy","Takashi Shimura"
"Zatoichi's Conspiracy","Yoshio Tsuchiya"
"Female Yakuza Tale","Meika Seri"
"Hospitals: The White Mafia","Senta Berger"
"Hospitals: The White Mafia","Claudio Gora"
"Hospitals: The White Mafia","Antonella Steni"
"Bruce Lee: A Dragon Story","Chen Chin-Hai"
"The Autobiography of Miss Jane Pittman","Cicely Tyson"
"The Autobiography of Miss Jane Pittman","Richard Dysart"
"The Autobiography of Miss Jane Pittman","Joel Fluellen"
"Herbie Rides Again","Helen Hayes"
"Herbie Rides Again","Stefanie Powers"
"Herbie Rides Again","John McIntire"
"Herbie Rides Again","Keenan Wynn"
"Herbie Rides Again","Dan Tobin"
"Herbie Rides Again","Raymond Bailey"
"Return of the Dragon","Lotis Key"
"House of Whipcord","Ray Brooks"
"House of Whipcord","Ann Michelle"
"The Legend of the 7 Golden Vampires","David Chiang Da-Wei"
"The Legend of the 7 Golden Vampires","Robin Stewart"
"The Legend of the 7 Golden Vampires","Shih Szu"
"Flesh Gordon","William Dennis Hunt"
"California Split","George Segal"
"California Split","Elliott Gould"
"California Split","Bert Remsen"
"Frank Sinatra: The Main Event","Frank Sinatra"
"At Home Among Strangers, a Stranger Among His Own","Yuri Bogatyryov"
"At Home Among Strangers, a Stranger Among His Own","Nikita Mikhalkov"
"At Home Among Strangers, a Stranger Among His Own","Sergey Shakurov"
"At Home Among Strangers, a Stranger Among His Own","Aleksandr Kalyagin"
"At Home Among Strangers, a Stranger Among His Own","Aleksandr Kaydanovskiy"
"At Home Among Strangers, a Stranger Among His Own","Konstantin Raykin"
"At Home Among Strangers, a Stranger Among His Own","Aleksandr Porokhovshchikov"
"At Home Among Strangers, a Stranger Among His Own","Anatoliy Solonitsyn"
"At Home Among Strangers, a Stranger Among His Own","Aleksandr Borisov"
"At Home Among Strangers, a Stranger Among His Own","Aleksandr Adabashyan"
"The Strongest Man in the World","Kurt Russell"
"The Strongest Man in the World","Eve Arden"
"The Strongest Man in the World","Harold Gould"
"The Strongest Man in the World","Richard Bakalyan"
"Queen of the Stardust Ballroom","Maureen Stapleton"
"Queen of the Stardust Ballroom","Charles Durning"
"Queen of the Stardust Ballroom","Beverly Sanders"
"Queen of the Stardust Ballroom","Alan Fudge"
"Funny Girl to Funny Lady","Barbra Streisand"
"Funny Girl to Funny Lady","Dick Cavett"
"Funny Girl to Funny Lady","James Caan"
"Funny Lady","Barbra Streisand"
"Funny Lady","James Caan"
"Funny Lady","Omar Sharif"
"Starsky and Hutch","Paul Michael Glaser"
"Starsky and Hutch","Michael Lerner"
"Starsky and Hutch","Antonio Fargas"
"Starsky and Hutch","Gilbert Green"
"The Day of the Locust","Donald Sutherland"
"The Day of the Locust","Karen Black"
"The Day of the Locust","Burgess Meredith"
"The Day of the Locust","Geraldine Page"
"The Day of the Locust","Richard Dysart"
"The Day of the Locust","Bo Hopkins"
"The Day of the Locust","Pepe Serna"
"The Day of the Locust","Jackie Earle Haley"
"The Kingfisher Caper","Hayley Mills"
"The Kingfisher Caper","David McCallum"
"The Devil's Rain","Eddie Albert"
"The Devil's Rain","William Shatner"
"The Devil's Rain","Keenan Wynn"
"The Devil's Rain","Woody Chambliss"
"The Devil's Rain","John Travolta"
"The Devil's Rain","Claudio Brook"
"Three Days of the Condor","Robert Redford"
"Three Days of the Condor","Faye Dunaway"
"Three Days of the Condor","Cliff Robertson"
"Three Days of the Condor","Max von Sydow"
"Three Days of the Condor","Michael Kane"
"The Return of Sister Street Fighter","Rinichi Yamamoto"
"What's The Big Idea, Ben Franklin?","Jean Fritz"
"The Killing of a Chinese Bookie","Ben Gazzara"
"The Killing of a Chinese Bookie","Timothy Carey"
"The Killing of a Chinese Bookie","Seymour Cassel"
"The Killing of a Chinese Bookie","Morgan Woodward"
"The Slipper and the Rose","Richard Chamberlain"
"The Slipper and the Rose","Michael Hordern"
"Logan's Run","Michael York"
"Logan's Run","Richard Jordan"
"Logan's Run","Roscoe Lee Browne"
"Logan's Run","Farrah Fawcett"
"The Big Bus","Joseph Bologna"
"The Big Bus","Stockard Channing"
"The Big Bus","René Auberjonois"
"The Big Bus","Ned Beatty"
"The Big Bus","José Ferrer"
"The Big Bus","Harold Gould"
"The Return of a Man Called Horse","Richard Harris"
"The Return of a Man Called Horse","Gale Sondergaard"
"The Return of a Man Called Horse","Geoffrey Lewis"
"The Return of a Man Called Horse","Claudio Brook"
"The Return of a Man Called Horse","William Lucking"
"The Return of a Man Called Horse","Pedro Damián"
"Swashbuckler","James Earl Jones"
"Swashbuckler","Peter Boyle"
"Swashbuckler","Geneviève Bujold"
"Swashbuckler","Beau Bridges"
"Swashbuckler","Anjelica Huston"
"In the Realm of the Senses","Meika Seri"
"In the Realm of the Senses","Taiji Tonoyama"
"Marathon Man","Dustin Hoffman"
"Marathon Man","Roy Scheider"
"Marathon Man","Fritz Weaver"
"Marathon Man","Marc Lawrence"
"Rocky","Sylvester Stallone"
"Rocky","Talia Shire"
"Rocky","Burt Young"
"Rocky","Burgess Meredith"
"Rocky","Jimmy Gambina"
"Mikey and Nicky","Peter Falk"
"Mikey and Nicky","Ned Beatty"
"Mikey and Nicky","Joyce Van Patten"
"Mikey and Nicky","M. Emmet Walsh"
"The Little Girl Who Lives Down the Lane","Jodie Foster"
"The Little Girl Who Lives Down the Lane","Martin Sheen"
"The Little Girl Who Lives Down the Lane","Scott Jacoby"
"Eaten Alive","Mel Ferrer"
"Eaten Alive","Robert Englund"
"Eaten Alive","Roberta Collins"
"Eaten Alive","Kyle Richards"
"The Love Letters from Teralba Road","Kris McQuade"
"The Love Letters from Teralba Road","Gia Carides"
"Love Letters of a Portuguese Nun","William Berger"
"Breaker! Breaker!","Chuck Norris"
"Jade Tiger","Ti Lung"
"Jade Tiger","Ku Feng"
"Jade Tiger","Lily Li"
"Jade Tiger","Fan Mei-Sheng"
"Jade Tiger","Lo Lieh"
"Jade Tiger","Shih Szu"
"Young Lady Chatterley","Harlee McBride"
"Young Lady Chatterley","Ann Michelle"
"Empire of the Ants","Joan Collins"
"Empire of the Ants","Albert Salmi"
"The Duellists","Keith Carradine"
"The Duellists","Harvey Keitel"
"The Duellists","Albert Finney"
"The Duellists","Robert Stephens"
"The Duellists","Alun Armstrong"
"Hell's Angels: Crimson Roar","Hiroshi Tachi"
"A Piece of the Action","Sidney Poitier"
"A Piece of the Action","Bill Cosby"
"A Piece of the Action","James Earl Jones"
"A Piece of the Action","Sheryl Lee Ralph"
"Abigail's Party","Alison Steadman"
"Abigail's Party","Tim Stern"
"Abigail's Party","Janine Duvitski"
